Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,1526,1989,3589,2990,4142,4734,4357,3328,3040,3026,2830,2395
2026,2147,2248,2627,2625,3206,4135,3946,3795,3278,2983,2874,2579
2027,2143,2185,2654,2676,3267,4147,3689,3474,3165,2699,2673,2505
