Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,5636,6394,8351,5693,6792,6327,6817,6360,7381,7582,7055,7106
2026,5834,6247,6637,5119,5498,6499,6577,6544,6988,8061,8252,8455
2027,5773,6241,6873,5281,5570,6577,6318,6339,6789,7206,7756,7704
