Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,22104,36124,56172,47894,68253,79968,85096,63301,50605,31835,25808,28204
2026,33438,44153,58315,61460,78720,91594,84558,72590,61717,52549,42679,35857
2027,42973,51606,62928,66199,79800,96114,84635,76393,65753,57365,46015,40409
