Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,25159,54327,101097,60922,86342,93282,100914,85291,61241,44784,32903,32100
2026,41567,57920,100796,64608,98446,108335,102064,87439,70753,52999,39003,40842
2027,50885,56811,92418,65784,99487,108909,101721,89746,74991,55143,45556,42767
