Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,17880,17915,24966,15010,17020,16176,17656,18085,23901,21872,23241,23863
2026,22044,22489,23092,18251,19363,21234,21933,21413,26168,26115,26901,27416
2027,22620,22471,23850,18800,19282,21568,20848,20217,25683,25523,26011,27297
