PF_Pos,PF_Neg,Trans,Regulation,UPromoUP,UPromoDWN,DPromoUP,DPromoDWN,Dampening,Shortage,trend
1.1627,0.9231,1,0.9342,1.17,0.9671,1.0879,0.97,0.3,0.77,1.064024
1.4734,1.1491,1,,,,,,,,
1.2245,0.9179,1,,,,,,,,
1.6728,1.1717,1,,,,,,,,
1.2275,0.9417,1,,,,,,,,
1.1496,0.8577,1,,,,,,,,
1.2966,0.9574,1,,,,,,,,
1.1574,1.0244,1,,,,,,,,
0.9999,0.8143,1.0737,,,,,,,,
1.0103,0.8438,1.0265,,,,,,,,
0.973,0.8277,0.9629,,,,,,,,
0.8514,0.7537,0.9838,,,,,,,,
