PF_Pos,PF_Neg,Trans,Regulation,UPromoUP,UPromoDWN,DPromoUP,DPromoDWN,Dampening,Shortage,trend
1.382,1.2868,1.0,0.8453,1.4116,0.8199,1.2058,0.97,0.3,0.77,1.0366
1.2406,1.2913,1.0,,,,,,,,
1.0082,1.021,1.0,,,,,,,,
1.6959,1.1729,1.0,,,,,,,,
1.1576,1.0196,1.0,,,,,,,,
1.1986,0.952,1.0,,,,,,,,
1.3081,1.1324,1.0,,,,,,,,
1.4648,1.3141,1.0,,,,,,,,
1.1913,1.065,1.0737,,,,,,,,
1.2203,0.9733,1.0265,,,,,,,,
1.4589,1.066,0.9629,,,,,,,,
1.3182,0.9579,0.9838,,,,,,,,
