Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,5693,5539,9801,8051,10736,10917,8023,6590,6666,6662,5540,6250
2026,6828,8454,11589,9879,15178,18557,16267,13967,11944,11460,10103,9842
2027,11046,12151,16338,11495,17284,20084,18249,14935,14752,12407,10204,8833
