Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,20324,28174,49098,38299,42622,37895,43180,35195,37078,25405,21987,23023
2026,25428,33436,46994,35652,44833,52073,46004,40065,35579,31013,26048,24099
2027,26025,29642,48799,36275,46073,54129,48361,42323,36861,32283,28118,24677
