Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2026,64416.0,59175.0,63873.0,50966.0,58298.0,69549.0,67300.0,65600.0,70187.0,67423.0,71168.0,70848.0
2027,57693.0,60162.0,63768.0,52372.0,58972.0,69439.0,63161.0,60852.0,71158.0,65398.0,69573.0,72049.0
