Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,1638,2603,4434,4026,5922,5508,5144,3700,2906,3015,2053,2946
2026,3229,4029,5979,4968,6382,7864,7340,5716,4514,3764,3077,3734
2027,4312,4993,6791,4787,6582,8144,7455,5697,4371,3591,3012,3696
