Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,17061,30829,49915,41345,60330,72050,78516,58502,46220,27554,22375,24656
2026,29265,39079,51991,54109,69175,80534,74006,63546,53692,45522,36694,30820
2027,37332,45009,55491,58079,70035,84531,73899,67179,57556,50284,39577,34479
