Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,5043,5295,6257,6549,7923,7918,6580,4799,4385,4281,3433,3548
2026,4173,5074,6324,7351,9545,11060,10552,9044,8025,7027,5985,5037
2027,5641,6597,7437,8120,9765,11583,10736,9214,8197,7081,6438,5930
