Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,18604,21084,29398,22527,29648,30477,34981,33113,31917,24309,25938,28020
2026,27658,27742,30675,25127,30304,36943,34469,33426,33562,29783,32945,32523
2027,27242,28434,31705,25730,30870,36848,32030,30944,34202,29128,32305,33404
