Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2026,30861.0,27834.0,30685.0,25161.0,30272.0,36937.0,34303.0,33436.0,33574.0,29799.0,32958.0,32558.0
2027,27277.0,28488.0,30518.0,25748.0,30870.0,36848.0,32046.0,30944.0,29128.0,34202.0,32305.0,33404.0
