Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2026,118.0,187.0,201.0,180.0,214.0,218.0,218.0,241.0,214.0,151.0,193.0,156.0
2027,139.0,198.0,213.0,200.0,232.0,245.0,246.0,273.0,177.0,243.0,226.0,216.0
